"","sampleID","n"
"1","MART.20180420.SURBER.1",60
"2","MART.20180420.SURBER.2",34
"3","MART.20180420.SURBER.3",46
"4","MART.20180420.SURBER.4",48
"5","MART.20180420.SURBER.5",35
"6","MART.20180420.SURBER.6",37
"7","MART.20180420.SURBER.7",50
"8","MART.20180420.SURBER.8",46
"9","MART.20180716.HESS.1",36
"10","MART.20180716.HESS.2",43
"11","MART.20180716.HESS.3",32
"12","MART.20180716.SURBER.1",45
"13","MART.20180716.SURBER.2",38
"14","MART.20180716.SURBER.3",46
"15","MART.20180716.SURBER.4",57
"16","MART.20180716.SURBER.5",50
"17","MART.20181009.HESS.1",44
"18","MART.20181009.HESS.3",28
"19","MART.20181009.HESS.6",36
"20","MART.20181009.SURBER.2",48
"21","MART.20181009.SURBER.4",43
"22","MART.20181009.SURBER.5",43
"23","MART.20181009.SURBER.7",53
"24","MART.20181009.SURBER.8",46
"25","MART.20190424.HESS.1",36
"26","MART.20190424.HESS.2",44
"27","MART.20190424.HESS.3",41
"28","MART.20190424.SURBER.1",53
"29","MART.20190424.SURBER.2",47
"30","MART.20190424.SURBER.3",33
"31","MART.20190424.SURBER.4",39
"32","MART.20190424.SURBER.5",39
"33","MART.20190717.HESS.1",33
"34","MART.20190717.HESS.2",53
"35","MART.20190717.HESS.3",28
"36","MART.20190717.SURBER.1",58
"37","MART.20190717.SURBER.2",47
"38","MART.20190717.SURBER.3",55
"39","MART.20190717.SURBER.4",47
"40","MART.20190717.SURBER.5",50
"41","MART.20190930.HESS.6",43
"42","MART.20190930.HESS.7",41
"43","MART.20190930.SURBER.1",37
"44","MART.20190930.SURBER.2",37
"45","MART.20190930.SURBER.3",49
"46","MART.20190930.SURBER.4",37
"47","MART.20190930.SURBER.5",27
"48","MART.20190930.SURBER.8",35
"49","MART.20200713.HESS.6",62
"50","MART.20200713.HESS.7",50
"51","MART.20200713.HESS.8",45
"52","MART.20200713.SURBER.1",48
"53","MART.20200713.SURBER.2",54
"54","MART.20200713.SURBER.3",54
"55","MART.20200713.SURBER.4",48
"56","MART.20200713.SURBER.5",32
"57","MART.20200921.HESS.6",33
"58","MART.20200921.HESS.7",46
"59","MART.20200921.HESS.8",22
"60","MART.20200921.SURBER.1",41
"61","MART.20200921.SURBER.2",38
"62","MART.20200921.SURBER.3",44
"63","MART.20200921.SURBER.4",51
"64","MART.20200921.SURBER.5",30
"65","MART.20210419.HESS.1",39
"66","MART.20210419.HESS.2",39
"67","MART.20210419.HESS.3",32
"68","MART.20210419.SURBER.1",34
"69","MART.20210419.SURBER.2",34
"70","MART.20210419.SURBER.3",36
"71","MART.20210419.SURBER.4",32
"72","MART.20210419.SURBER.5",43
"73","MART.20210728.HESS.6",57
"74","MART.20210728.HESS.7",54
"75","MART.20210728.HESS.8",45
"76","MART.20210728.SURBER.1",37
"77","MART.20210728.SURBER.2",27
"78","MART.20210728.SURBER.3",53
"79","MART.20210728.SURBER.4",44
"80","MART.20210728.SURBER.5",29
"81","MART.20210927.HESS.1",26
"82","MART.20210927.HESS.2",32
"83","MART.20210927.HESS.3",44
"84","MART.20210927.SURBER.1",45
"85","MART.20210927.SURBER.2",36
"86","MART.20210927.SURBER.3",42
"87","MART.20210927.SURBER.4",53
"88","MART.20210927.SURBER.5",46
"89","MART.20220418.HESS.6",33
"90","MART.20220418.HESS.7",33
"91","MART.20220418.HESS.8",31
"92","MART.20220418.SURBER.1",42
"93","MART.20220418.SURBER.2",33
"94","MART.20220418.SURBER.3",42
"95","MART.20220418.SURBER.4",22
"96","MART.20220418.SURBER.5",46
