"","uid","domainID","siteID","namedLocation","collectDate","sampleID","sampleCode","batchID","sampleCondition","laboratoryName","analysisDate","analyzedBy","sampleType","replicate","sampleVolumeFiltered","filterSize","percentFilterAnalyzed","analyte","analyteConcentration","plantAlgaeLabUnits","testMethod","method","acidTreatment","externalRemarks","externalLabDataQF","publicationDate","release"
"1","884e11b0-c76b-479f-8cfe-9a4d08b3d5ce","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.1",NA,"Nea-17","condition ok","Academy of Natural Sciences of Drexel University",2016-06-21,"Txt9C5i/u7k=","chlorophyll/pheophytin","1",NA,25,100,"chlorophyll a",NA,"microgramsPerLiter","ANSP P-16-92 Rev2",NA,NA,NA,"legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"2","21153029-f94a-4cac-9763-71240e9bcc07","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.5",NA,"Nea-17","condition ok","Academy of Natural Sciences of Drexel University",2017-03-07,"OKgcKejxXbI=","13C15N","1",NA,25,100,"d15N",9.83,"perMill","ANSP P-16-202 Rev0",NA,NA,NA,"legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"3","3d277927-7d6c-4e9c-8b7b-3024ecfbb5d7","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.3",NA,"Nea-17","condition ok","Academy of Natural Sciences of Drexel University",2016-06-07,"OKgcKejxXbI=","CN","1",NA,25,100,"nitrogen",16104.33,"microgramsPerLiter","ANSP P-16-54 Rev2",NA,NA,NA,"legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"4","6432fed8-809f-4bf7-adcc-5475e600d22c","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.1",NA,"Nea-17","condition ok","Academy of Natural Sciences of Drexel University",2016-06-07,"OKgcKejxXbI=","CN","1",NA,25,100,"carbon",9049.34,"microgramsPerLiter","ANSP P-16-54 Rev2",NA,"N",NA,"legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed","20221122T182031Z","RELEASE-2023"
"5","149d5bff-8aca-4eb9-9ea5-f53595a556a7","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.4",NA,"Nea-17","other (specify in remarks)","Academy of Natural Sciences of Drexel University",2017-03-07,"OKgcKejxXbI=","13C15N","1",NA,25,100,"d34S",NA,"perMill","SO2 EA-combustion-IRMS method",NA,NA,"not enough sample for analysis","legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"6","08690682-cb5e-455d-ab1c-e91b23fcf0bd","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.1",NA,"Nea-17","condition ok","Academy of Natural Sciences of Drexel University",2017-03-07,"OKgcKejxXbI=","13C15N","1",NA,25,100,"d34S",6.45,"perMill","SO2 EA-combustion-IRMS method",NA,NA,NA,"legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"7","5cce1538-61ef-4655-9be4-369f9fbd19e7","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.3",NA,"Nea-17","other (specify in remarks)","Academy of Natural Sciences of Drexel University",2016-06-21,"Txt9C5i/u7k=","chlorophyll/pheophytin","1",NA,25,100,"chlorophyll a",NA,"microgramsPerLiter","ANSP P-16-92 Rev2",NA,NA,"Replicate 1 was visibly greener","legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"8","cf0141df-88dd-49cd-9e81-e37b729bf0d4","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.4",NA,"Nea-17","other (specify in remarks)","Academy of Natural Sciences of Drexel University",2017-03-07,"OKgcKejxXbI=","13C15N","1",NA,25,100,"d15N",NA,"perMill","ANSP P-16-202 Rev0",NA,NA,"not enough sample for analysis","legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"9","c9380b06-2f27-4eac-b6e7-804cf732a568","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.5",NA,"Nea-17","condition ok","Academy of Natural Sciences of Drexel University",2016-06-21,"Txt9C5i/u7k=","chlorophyll/pheophytin","1",NA,25,100,"chlorophyll a",NA,"microgramsPerLiter","ANSP P-16-92 Rev2",NA,NA,NA,"legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"10","db2c21d1-03cf-49d5-a806-c16f9bd3d36e","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.4",NA,"Nea-17","other (specify in remarks)","Academy of Natural Sciences of Drexel University",2017-03-07,"OKgcKejxXbI=","13C15N","2",NA,25,100,"d15N",NA,"perMill","ANSP P-16-202 Rev0",NA,NA,"not enough sample for analysis","legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"11","43c63045-24bd-4160-ac3b-770a6d75e59b","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.5",NA,"Nea-17","condition ok","Academy of Natural Sciences of Drexel University",2016-06-21,"Txt9C5i/u7k=","chlorophyll/pheophytin","1",NA,25,100,"pheophytin",NA,"microgramsPerLiter","ANSP P-16-92 Rev2",NA,NA,NA,"legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"12","0f0c6ac1-5d8c-4438-965e-fac766de5456","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.3",NA,"Nea-17","condition ok","Academy of Natural Sciences of Drexel University",2016-06-15,"+IoRzddUq5A=","P","1",NA,25,100,"phosphorus",776.4,"microgramsPerLiter","ANSP P-16-114 Rev2; ANSP P-16_95 Rev3",NA,NA,NA,"legacyData|Did not meet quality audit requirements for analysis audit","20221122T182031Z","RELEASE-2023"
"13","2cedf938-b78e-467a-a25a-1e0cf99dee64","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.3",NA,"Nea-17","condition ok","Academy of Natural Sciences of Drexel University",2017-03-07,"OKgcKejxXbI=","13C15N","1",NA,25,50,"d13C",-30.39,"perMill","ANSP P-16-202 Rev0",NA,"N",NA,"legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed","20221122T182031Z","RELEASE-2023"
"14","b255e592-d77c-49bd-adbc-ed5319d35349","D10","ARIK","ARIK.AOS.reach",2016-03-29,"ARIK.20160329.EPIPHYTON.5",NA,"Nea-17","condition ok","Academy of Natural Sciences of Drexel University",2017-03-07,"OKgcKejxXbI=","13C15N","2",NA,25,100,"d13C",-28.11,"perMill","ANSP P-16-202 Rev0",NA,"N",NA,"legacyData|Did not meet quality audit requirements for analysis audit|acidTreatmentSOPNotFollowed","20221122T182031Z","RELEASE-2023"
